Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
74 ,87 ,404 ,183 ,66 ,592 ,454.704773 ,548.781616 ,501.743195 ,0.000000 ,-84.221977 ,-66.646339 ,-5.378204 ,-0.336888 ,-0.723598 ,0.023435 ,17.589972 ,-0.723598 ,-102.258789
75 ,87 ,409 ,183 ,70 ,600 ,470.384247 ,580.140564 ,525.262390 ,0.000000 ,-98.258972 ,-68.719513 ,-5.119933 ,-0.435147 ,-0.792317 ,0.019446 ,18.115219 ,-0.792317 ,-105.464844
76 ,88 ,413 ,181 ,71 ,608 ,470.384247 ,580.140564 ,525.262390 ,0.000000 ,-98.258972 ,-69.390244 ,-5.119933 ,-0.533406 ,-0.861707 ,0.014556 ,18.640459 ,-0.861707 ,-113.934570
77 ,88 ,413 ,181 ,71 ,616 ,470.384247 ,580.140564 ,525.262390 ,0.000000 ,-98.258972 ,-70.609756 ,-4.914490 ,-0.631665 ,-0.932317 ,0.008766 ,19.165689 ,-0.932317 ,-115.657227
78 ,84 ,412 ,181 ,70 ,624 ,470.384247 ,595.820068 ,533.102173 ,0.000000 ,-112.295967 ,-70.548782 ,-4.914490 ,-0.743961 ,-1.002866 ,0.001844 ,19.698748 ,-1.002866 ,-99.770508
79 ,84 ,412 ,181 ,70 ,632 ,501.743195 ,595.820068 ,548.781616 ,0.000000 ,-84.221977 ,-70.365852 ,-4.965753 ,-0.828183 ,-1.073232 ,-0.006088 ,20.247471 ,-1.073232 ,-93.454102
80 ,84 ,415 ,179 ,75 ,640 ,533.102173 ,595.820068 ,564.461121 ,0.000000 ,-56.147984 ,-69.329269 ,-4.812160 ,-0.884331 ,-1.142561 ,-0.014800 ,20.811865 ,-1.142561 ,-94.841797
81 ,84 ,415 ,179 ,75 ,648 ,517.422668 ,611.499512 ,564.461121 ,0.000000 ,-84.221977 ,-68.048782 ,-4.812160 ,-0.968553 ,-1.210610 ,-0.024342 ,21.376245 ,-1.210610 ,-77.041016
82 ,90 ,421 ,182 ,79 ,656 ,501.743195 ,611.499512 ,556.621338 ,0.000000 ,-98.258972 ,-64.390244 ,-4.506729 ,-1.066812 ,-1.275000 ,-0.034705 ,21.932770 ,-1.275000 ,-49.622070
83 ,85 ,417 ,180 ,75 ,664 ,517.422668 ,627.179016 ,572.300842 ,0.000000 ,-98.258972 ,-64.329269 ,-4.506729 ,-1.165071 ,-1.339329 ,-0.046342 ,22.504953 ,-1.339329 ,-44.454102
84 ,85 ,417 ,180 ,75 ,672 ,564.461121 ,627.179016 ,595.820068 ,0.000000 ,-56.147984 ,-66.280487 ,-4.710090 ,-1.221219 ,-1.405610 ,-0.059040 ,23.100637 ,-1.405610 ,-47.947266
85 ,86 ,422 ,178 ,77 ,680 ,564.461121 ,611.499512 ,587.980286 ,0.000000 ,-42.110989 ,-69.634148 ,-4.456051 ,-1.263330 ,-1.475244 ,-0.072004 ,23.688475 ,-1.475244 ,-47.181641
86 ,86 ,422 ,178 ,77 ,688 ,580.140564 ,627.179016 ,603.659790 ,0.000000 ,-42.110989 ,-72.865852 ,-4.456051 ,-1.305441 ,-1.548110 ,-0.085756 ,24.291979 ,-1.548110 ,-52.636719
87 ,85 ,430 ,177 ,80 ,696 ,564.461121 ,642.858459 ,603.659790 ,0.000000 ,-70.184982 ,-72.439026 ,-4.052958 ,-1.375626 ,-1.620549 ,-0.100248 ,24.895464 ,-1.620549 ,-50.100586
88 ,86 ,431 ,178 ,80 ,704 ,564.461121 ,658.537964 ,611.499512 ,0.000000 ,-84.221977 ,-72.439026 ,-4.052958 ,-1.459848 ,-1.692988 ,-0.115827 ,25.506765 ,-1.692988 ,-42.779297
89 ,86 ,431 ,178 ,80 ,712 ,595.820068 ,658.537964 ,627.179016 ,0.000000 ,-56.147984 ,-73.902443 ,-4.002862 ,-1.515996 ,-1.766890 ,-0.132420 ,26.133724 ,-1.766890 ,-31.964844
90 ,87 ,433 ,175 ,84 ,720 ,611.499512 ,658.537964 ,635.018738 ,0.000000 ,-42.110989 ,-74.817078 ,-4.002862 ,-1.558107 ,-1.841707 ,-0.149686 ,26.768509 ,-1.841707 ,-28.902344
91 ,87 ,433 ,175 ,84 ,728 ,627.179016 ,658.537964 ,642.858459 ,0.000000 ,-28.073992 ,-76.768295 ,-3.902864 ,-1.586181 ,-1.918476 ,-0.167481 ,27.411121 ,-1.918476 ,-37.659180
92 ,85 ,434 ,174 ,82 ,736 ,658.537964 ,674.217407 ,666.377686 ,0.000000 ,-14.036996 ,-76.646347 ,4.059480 ,-1.600218 ,-1.995122 ,-0.186090 ,28.077238 ,-1.995122 ,-29.045898
93 ,86 ,439 ,172 ,84 ,744 ,642.858459 ,674.217407 ,658.537964 ,0.000000 ,-28.073992 ,-77.500000 ,4.059480 ,-1.628292 ,-2.072622 ,-0.204802 ,28.735512 ,-2.072622 ,-15.408203
94 ,86 ,439 ,172 ,84 ,752 ,721.255859 ,595.820068 ,658.537964 ,0.000000 ,112.295967 ,-79.817078 ,4.399885 ,-1.515996 ,-2.152439 ,-0.222225 ,29.393818 ,-2.152439 ,-17.896484
95 ,84 ,442 ,173 ,86 ,760 ,799.653198 ,564.461121 ,682.057190 ,0.000000 ,210.554947 ,-76.585365 ,4.399885 ,-1.305441 ,-2.229025 ,-0.237764 ,30.075699 ,-2.229025 ,-10.910156
